levelIndex	levelId	seed	declaredSolutions	levelNumSolutions	objectCount	controllerCount	controllers	randomizer	chosenSolutions
46	Buttons	1000	2	2	25	1	SortingItems_Draggables	SortingItems_LevelRandomizer	-
46	Buttons	8919	2	2	25	1	SortingItems_Draggables	SortingItems_LevelRandomizer	-
46	Buttons	16838	2	2	25	1	SortingItems_Draggables	SortingItems_LevelRandomizer	-
46	Buttons	24757	2	2	25	1	SortingItems_Draggables	SortingItems_LevelRandomizer	-
46	Buttons	32676	2	2	25	1	SortingItems_Draggables	SortingItems_LevelRandomizer	-
46	Buttons	40595	2	2	25	1	SortingItems_Draggables	SortingItems_LevelRandomizer	-
46	Buttons	48514	2	2	25	1	SortingItems_Draggables	SortingItems_LevelRandomizer	-
46	Buttons	56433	2	2	25	1	SortingItems_Draggables	SortingItems_LevelRandomizer	-
28	Breadtags	1000	1	1	18	2	Draggables|Removables	BreadTags_LevelRandomizer	-
28	?	8919	?	?	?	0		-	-
28	Breadtags	16838	1	1	14	2	Draggables|Removables	BreadTags_LevelRandomizer	-
28	Breadtags	24757	1	1	16	2	Draggables|Removables	BreadTags_LevelRandomizer	-
28	Breadtags	32676	1	1	14	2	Draggables|Removables	BreadTags_LevelRandomizer	-
28	Breadtags	40595	1	1	14	2	Draggables|Removables	BreadTags_LevelRandomizer	-
28	Breadtags	48514	1	1	16	2	Draggables|Removables	BreadTags_LevelRandomizer	-
28	Breadtags	56433	1	1	18	2	Draggables|Removables	BreadTags_LevelRandomizer	-
12	Calendar	1000	1	1	11	1	Stickables	Calendar_LevelRandomizer	-
12	Calendar	8919	1	1	15	1	Stickables	Calendar_LevelRandomizer	-
12	Calendar	16838	1	1	12	1	Stickables	Calendar_LevelRandomizer	-
12	Calendar	24757	1	1	18	1	Stickables	Calendar_LevelRandomizer	-
12	Calendar	32676	1	1	14	1	Stickables	Calendar_LevelRandomizer	-
12	Calendar	40595	1	1	23	1	Stickables	Calendar_LevelRandomizer	-
12	Calendar	48514	1	1	24	1	Stickables	Calendar_LevelRandomizer	-
12	Calendar	56433	1	1	18	1	Stickables	Calendar_LevelRandomizer	-
73	Clock	1000	1	1	2	1	Rotateables	Clock_LevelRandomizer	-
73	Clock	8919	1	1	2	1	Rotateables	Clock_LevelRandomizer	-
73	Clock	16838	1	1	2	1	Rotateables	Clock_LevelRandomizer	-
73	Clock	24757	1	1	2	1	Rotateables	Clock_LevelRandomizer	-
73	Clock	32676	1	1	2	1	Rotateables	Clock_LevelRandomizer	-
73	Clock	40595	1	1	2	1	Rotateables	Clock_LevelRandomizer	-
73	Clock	48514	1	1	2	1	Rotateables	Clock_LevelRandomizer	-
73	Clock	56433	1	1	2	1	Rotateables	Clock_LevelRandomizer	-
